541,301,271,270,280,281,271,270,241,240,250,241,260,241,251,240,251,230,260,241,250,241,250,230,261
621,431,381,381,381,391,391,381,381,391,380,390,380,391,381,391,381,391,381,390,380,391,381,391,381
872,872,731,692,691,692,701,692,691,692,701,692,691,692,691,692,691,691,691,691,691,701,692,691,692
1573,1433,1463,1303,1282,1293,1283,1292,1283,1302,1282,1293,1282,1293,1292,1302,1283,1302,1283,1302,1282,1303,1282,1293,1282
2865,2605,2544,2484,2484,2484,2484,2485,2485,2485,2485,2475,2485,2485,2484,2484,2555,2545,2545,2535,2545,2535,2545,2485,2505
5400,4979,4929,4959,4959,4949,4949,4949,4949,4949,4949,4949,4949,4949,4959,4959,4949,4949,4949,4949,4949,4949,4949,4949,4949
10209,9818,9858,9759,9768,9768,9769,9758,9769,9768,9768,9769,9768,9769,9768,9759,9768,9768,9769,9758,9769,9768,9768,9759,9768
20018,19477,19487,19387,19437,19386,19436,19387,19447,19377,19437,19386,19436,19387,19447,19447,19447,19446,19446,19446,19447,19457,19457,19447,19447
39395,39034,38824,38913,38824,53040,43542,38743,38903,38804,38893,38784,38693,38974,38903,38793,38833,38884,38843,38814,38873,38864,38843,38724,38833
79681,101862,91994,77426,77396,77586,77476,77406,80772,77536,80863,77516,77367,77526,77657,73228,79350,58170,58120,58150,58070,58200,58039,58009,58100
150424,149602,149452,149342,149482,149372,149572,149482,149532,149633,149482,149603,149522,158680,149572,149473,149602,149603,149813,149412,149512,149422,149412,149462,149493
300347,298954,298444,299135,299125,298904,299907,299114,304695,300938,299626,299646,299416,299776,299956,299796,299686,299806,299725,299725,299976,299576,304956,299936,299956
318051,316798,316848,317109,316898,317029,316778,317119,316678,316778,316978,322650,318271,318291,317619,317990,317099,317970,318221,318050,317980,317890,318321,317570,322569
636652,636271,637363,638014,787607,635480,635019,634728,634558,797927,752601,639728,638526,748302,977335,834916,635490,634859,644978,641591,636221,767520,635189,635560,635660
1270468,1270730,1310344,1269517,1268755,1308190,1270027,1268265,1268545,1305475,1268876,1269006,1307859,1268524,1271260,1309011,1268575,1270168,1310855,1269036,1268856,1305835,1268234,1268555,1306867
500,291,240,241,241,240,241,251,250,251,240,240,251,240,241,251,240,241,250,240,241,250,251,240,250
310,220,221,210,211,220,211,220,200,200,200,200,200,200,210,201,200,201,200,211,200,201,200,201,200
961,762,711,722,721,712,711,722,711,712,701,692,691,692,691,692,701,692,691,701,691,691,691,691,692
781,671,681,662,661,661,662,661,661,662,661,661,662,661,661,662,661,661,662,661,661,662,661,661,662
2825,2605,2635,2645,2635,2635,2635,2635,2635,2635,2615,2615,2615,2615,2615,2615,2615,2605,2615,2615,2615,2615,2615,2615,2615
8476,5209,5219,5199,5209,5209,5210,5210,5210,5210,5210,5210,5210,5210,5210,5210,5210,5210,5210,5210,5200,5200,5210,5209,5209
13626,10369,10460,10320,10369,10359,10330,10349,10359,10330,10359,10329,10360,10329,10359,10330,10330,10329,10330,10330,10339,10330,10340,10329,10340
26641,20589,20509,20579,20549,20549,20549,20549,20549,20549,20549,20559,20549,20559,20549,20549,20559,20549,20549,20559,20549,20559,20549,20559,20569
52729,41127,41217,41098,41108,41098,41097,41097,41078,41098,41097,41097,41098,41098,41098,41097,41098,41098,41088,41087,41097,41098,41098,41097,41097
103716,82135,82395,82145,82145,82185,82306,100279,85512,82405,82495,82506,82376,82506,82496,82496,82496,82506,82495,82505,82495,82496,82496,82496,82496
208053,164671,164731,164640,164630,164500,187895,165082,164781,164771,164781,164781,164751,164761,174189,164741,164822,164671,164771,164671,164821,164871,164821,164671,164782
207953,165171,165171,165201,165242,165201,165212,165202,165212,176874,180912,165202,165112,165232,165232,165232,165232,165232,165082,165222,165232,185540,166775,172356,173658
423760,338298,338469,360360,338489,338810,338499,338730,347997,375509,338218,350101,376811,337958,348679,346704,347346,338549,339101,338669,347597,338399,338429,338319,338559
2497807,2032307,1489883,2114773,1458925,1337916,1338367,1357713,1368684,1891842,1028502,1024845,1017231,1016970,678662,682318,964321,1063157,705121,678350,678471,678702,678421,685935,677840
2534255,2160369,2133268,2160750,1670644,1354057,1385406,1360028,1362693,1397248,1363575,1355239,1383923,1365188,1390405,1351832,1400995,1384464,1361100,1355639,1398100,1360449,1352103,1383673,1364236
