190,120,100,100,100,100,111,100,100,100,91,100,100,100,100,100,100,101,100,100,100,101,100,100,100
281,211,190,190,170,170,181,170,181,170,170,181,170,181,170,180,170,170,181,170,171,180,170,181,170
431,371,341,330,331,321,331,330,331,321,320,331,331,331,330,331,321,320,331,331,330,331,331,320,320
2083,1884,1873,1883,1874,1874,1874,1873,1873,1874,1874,1883,1874,1874,1873,1873,1874,1874,1883,1873,1874,1874,1873,1874,1874
1302,1203,1212,1202,1213,1212,1213,1212,1212,1203,1202,1212,1213,1202,1212,1212,1212,1203,1212,1212,1213,1202,1212,1213,1202
4979,4719,4729,4729,4749,4719,4749,4769,4739,4719,4719,4729,4739,4729,4719,4739,4728,4729,4719,4729,4739,4729,4719,4729,4739
9668,9468,9488,9458,9508,9448,9448,9458,9428,9428,9478,9438,9478,24867,15369,13225,9438,9458,9458,9428,9448,9478,9468,9478,9418
19146,18886,18906,18956,18836,18925,18975,18875,18896,18916,18866,18896,18926,18895,18915,18906,18886,18916,18906,18906,18905,18925,18896,18866,18906
40827,37651,37721,37711,37742,37811,37631,37671,37691,37681,37731,37721,37712,37721,37761,57137,37821,37751,37711,37762,37771,37722,37721,37721,37721
81344,75413,75452,75353,75442,75433,75322,75483,79450,110058,75483,75332,75473,75372,75403,86994,114977,75502,75463,110749,79621,72256,62098,56697,56647
325805,145946,145635,146025,145695,146066,145755,145755,145706,145665,145945,145795,145645,145855,145745,154832,145564,145706,145635,145655,145625,145725,145706,145685,145735
642914,301749,317620,301600,301920,302060,302140,302331,302641,302871,302811,302421,315145,302280,302761,350492,301700,302151,302331,306669,346865,468565,468454,468504,468385
1015998,464837,466331,514041,694200,694401,700873,512898,475588,465630,467252,467042,467462,467172,471601,466911,467193,467172,467532,467233,467482,467012,466952,484875,466962
1456740,815239,947038,926259,930507,984498,935145,942199,935276,984569,935075,942770,935075,935125,984319,943752,935676,935746,983687,941207,934134,936217,984188,935907,942489
3011034,1429408,1963196,1879799,1983335,1883746,1986631,1879909,1976241,1888265,1967786,1890379,1972163,1902793,1970691,1890138,1970060,1895228,1884057,1983124,1880390,1982413,1882103,1980048,1881272
261,181,150,150,161,140,140,140,150,141,140,150,141,140,150,151,140,140,150,140,141,150,140,141,150
391,301,270,260,261,270,271,261,260,271,260,261,271,260,261,270,261,261,270,261,260,271,261,260,271
451,351,331,330,341,341,341,330,331,341,330,340,331,331,340,331,341,340,330,341,331,340,331,331,340
771,691,641,642,631,641,641,641,641,631,642,641,641,631,641,641,641,642,631,641,641,641,631,631,642
1392,1273,1252,1263,1252,1253,1252,1263,1252,1252,1252,1262,1253,1252,1253,1262,1253,1252,1252,1262,1252,1253,1252,1263,1252
4218,2595,2605,2605,2605,2605,2605,2605,2595,2605,2605,2605,2605,2605,2605,2595,2595,2605,2605,2605,2605,2605,2595,2605,2605
9728,8056,8055,8055,8055,8055,8065,8065,8065,8055,8065,8075,8065,8055,8056,8065,8055,8056,8055,8065,8056,8055,8065,8066,8055
13476,10390,10410,10419,10360,10370,10369,10370,10370,10369,10370,10370,10369,10370,10370,10369,10370,10370,10369,10370,10380,10399,10390,10400,10389
38222,32240,32240,32240,32261,32230,32261,32221,32231,32251,32221,32261,32231,32241,32251,32231,32251,32241,32251,32251,32251,32251,32251,32261,32251
60485,55134,41428,41429,41458,41448,41539,41508,41449,41408,41498,41499,41438,41408,41469,41398,41448,41429,41428,41458,41509,41528,41458,41458,41458
127260,83257,83257,83177,83327,83258,83247,83147,104076,83228,83297,83197,83197,83087,83207,83157,83317,83267,83267,83247,83237,83107,83227,83227,83408
351213,259640,271402,259249,259330,259380,259339,259230,259330,259279,259370,259290,259169,259310,259289,259250,260181,263868,259279,259200,259099,259029,259260,259910,259130
755427,551822,551581,551782,551862,551541,553545,558895,555499,552343,552002,552233,552262,552432,565427,552774,553575,552984,569696,554246,554416,563665,436574,448938,448787
1162455,883508,876314,936328,897534,898116,907283,897534,929765,898757,903115,897996,930567,897565,897073,902774,898617,929685,897975,902745,897625,930006,898045,912192,898266
2072332,1335722,1340541,1368544,1334990,1347204,1366901,1334730,1339659,1367312,1335331,1339870,1367792,1334990,1343036,1367642,1335372,1340230,1368304,1334861,1339950,1367722,1340010,1335251,1367963
