1012,421,441,431,411,390,391,391,391,390,391,391,381,390,391,391,381,390,391,381,381,390,391,381,381
751,551,531,541,541,521,521,521,521,521,511,501,511,511,511,511,511,511,511,511,510,511,511,501,511
892,671,642,641,651,632,621,621,622,621,621,601,601,601,611,611,601,601,601,601,601,602,601,612,611
1263,1052,1012,1002,1022,1042,991,1012,992,1001,1002,1002,1002,1012,1002,1002,1002,992,1002,1002,1002,1002,1002,992,992
2524,2335,2325,2305,2285,2284,2284,2284,2274,2255,2285,2254,2284,2264,2285,2254,2284,2254,2274,2255,2284,2254,2284,2255,2285
5350,4258,4308,4309,4318,4298,4299,4298,4288,4288,4288,4288,4288,4278,4288,4288,4289,4288,4288,4288,4288,4289,4288,4288,4288
9468,8116,8336,8345,8336,8326,8315,8316,8296,8306,8305,8295,8306,8306,8306,8286,8305,8295,8296,8286,8296,8295,8295,8285,8296
19607,17272,17243,17243,17233,17183,17183,17193,17183,17153,17173,17152,17182,17162,17172,17162,17162,17152,17173,17163,17163,17153,17162,17152,17162
40025,34485,35146,35117,35127,35116,35116,35116,35116,35106,35107,35096,35116,35116,35116,35117,35116,35106,35116,35106,35107,35106,35106,35106,35106
80753,70764,73458,70874,70272,70122,70032,70122,70052,70103,70113,70102,70132,70112,70172,75643,70894,69701,70844,70864,70804,70823,70824,70824,70824
162257,141257,141938,144603,137440,141217,141217,141206,141206,148721,142599,142359,142579,142549,142580,142549,142589,142550,142569,142529,142559,142519,142539,142529,142549
324683,280689,285820,285810,285830,285850,285819,285759,285759,285769,282713,285840,285790,290108,285499,285710,285710,285689,285709,285689,285699,285699,285709,285699,239623
649527,561049,571419,572501,571378,572200,572160,572150,572181,572170,572571,572891,566179,566169,566228,566169,566219,571058,510815,407610,406558,407610,406557,407619,406547
1112,732,641,631,631,691,652,652,621,611,662,622,612,621,621,611,621,621,621,621,621,621,611,621,621
1293,872,862,852,831,832,832,841,832,841,842,842,831,832,842,841,832,832,841,842,832,831,842,842,831
1783,1363,1352,1313,1272,1282,1283,1252,1252,1242,1242,1243,1243,1253,1252,1252,1252,1252,1252,1243,1243,1243,1242,1242,1242
2585,2184,2174,2174,2134,2134,2144,2144,2134,2144,2134,2134,2144,2144,2134,2124,2134,2124,2134,2124,2124,2134,2124,2134,2124
4409,3947,3948,3957,3908,3878,3877,3877,3947,3898,3838,3838,3838,3838,3837,3847,3847,3837,3837,3847,3837,3837,3847,3837,3837
10830,7333,7264,7274,7354,7274,7274,7263,7264,7263,7274,7273,7234,7253,7234,7233,7244,7234,7244,7234,7233,7234,7233,7234,7234
17674,14237,14167,14156,14127,14127,14136,14147,14126,14127,14126,14127,14126,14127,14126,14127,14127,14127,14127,14127,14127,14126,14137,14116,14137
34035,27852,27843,27832,27813,27802,27793,27803,27772,27833,27813,27832,27823,27833,27842,27843,27843,27842,27843,27843,27832,27822,27823,27832,27822
92465,80612,80542,80542,92114,80542,80522,80532,80502,80502,80502,80512,80502,80512,80512,80512,80502,80512,80512,80512,80502,80512,80502,80512,80502
131999,110027,109978,109998,110008,110008,109957,109948,109958,109987,109958,109987,109948,109967,109958,124936,109888,109878,109867,109867,109867,109868,109878,109867,109867
262245,219234,219254,219264,219254,219254,219203,219204,292362,320836,254961,219444,219384,219364,219384,219384,286751,219655,219564,219595,219564,219594,219595,219594,219595
557542,438057,438218,438217,523488,549969,475979,451252,438288,438197,438237,438247,466241,511335,465529,465519,489925,473344,438247,438217,438207,505514,486038,465619,474155
1055813,990209,952558,916070,875452,981694,935386,935346,877186,967106,932059,951246,883588,903225,978317,935306,911400,875744,988847,934855,930948,876936,973738,932050,970853
