841,311,281,281,281,281,261,251,251,260,250,260,250,261,251,261,251,260,250,260,250,251,251,261,261
702,521,491,500,491,450,481,451,451,451,451,451,451,450,451,451,440,441,451,440,441,451,450,441,441
1352,722,692,681,681,671,671,672,672,661,661,661,652,651,661,651,651,661,651,661,661,651,661,662,651
1163,792,782,792,792,762,762,762,761,761,761,761,752,762,761,761,761,761,752,762,762,761,761,751,752
1704,1393,1323,1313,1323,1323,1323,1343,1313,1303,1313,1312,1312,1292,1302,1332,1333,1333,1333,1333,1333,1333,1302,1312,1302
5391,2475,2475,2454,2424,2424,2424,2435,2404,2414,2424,2424,2404,2414,2414,2404,2414,2434,2434,2404,2424,2484,2414,2414,2414
13646,4879,4789,4809,4799,4809,4789,4819,4779,4789,4779,4799,4769,4779,4779,4779,4789,4789,4769,4779,4769,4789,4799,4759,4789
35416,14307,14247,14177,14186,14197,14177,14156,14177,14167,14177,14166,14187,14177,14176,14187,14167,14197,14166,14167,14167,14177,14176,14167,14177
73439,28393,28444,28274,28213,28193,28233,28223,28253,28194,28243,28243,28233,28203,28234,28224,28183,28243,28233,28234,28203,28223,28243,28223,28204
152417,56778,56467,56497,56547,56537,56467,56477,56567,56486,56527,56517,56517,56687,56517,56537,56436,56497,56557,56507,56596,56527,56497,56317,56367
302531,113615,113455,113364,113574,113254,113284,113324,113314,113274,113424,113504,113364,113314,113354,113435,113384,113203,127621,112663,113725,113595,113635,113655,113594
712204,228101,227790,227229,227169,237829,227680,227820,227800,227610,227660,227198,227820,227559,227530,227239,227830,272164,228802,227770,227630,227880,227540,234212,228201
1408479,455880,456662,538366,455751,455821,472572,456131,455270,455741,455821,535821,455961,455019,471750,461181,458496,458175,458266,457805,558374,458375,460840,481409,484284
1062,682,591,591,621,581,561,571,571,541,531,531,531,762,531,561,571,531,701,561,571,561,571,572,571
1293,822,831,762,762,791,732,721,731,731,701,721,722,722,721,721,711,721,721,702,722,722,711,721,721
821,571,672,561,561,561,541,541,531,531,541,531,541,531,541,531,531,531,531,531,531,521,531,521,521
1353,902,892,891,891,852,862,852,842,852,842,852,852,852,852,852,852,851,851,851,851,851,841,851,851
1984,1573,1543,1533,1513,1513,1513,1513,1492,1493,1493,1493,1493,1492,1503,1493,1493,1503,1492,1493,1503,1493,1493,1503,1493
6142,3035,2986,3016,2976,2996,3005,2995,3116,2986,3006,2986,2986,2976,2976,2966,2966,2976,2976,2976,2966,2966,2966,2976,2976
9057,5801,5891,5801,5791,5811,5791,5781,5751,12374,5751,5771,5740,5801,5761,5760,5751,5751,5751,5760,5761,5751,5761,5751,5751
17664,11381,11401,11411,11401,11331,11331,11511,11401,11331,11341,11341,11341,11362,11402,11402,11402,11402,11402,11382,11382,11381,11381,11391,11381
34194,22603,22523,22553,22533,22493,22453,22442,22472,22432,22423,22422,22472,22602,22452,22432,22443,22453,22503,22432,22442,22492,22423,22473,22442
68069,44965,44935,45045,45105,44865,45045,45075,45095,45055,45085,45085,44955,44795,45075,45055,45055,45065,45025,45056,45055,45106,44995,45055,98536
135906,89369,90010,89940,89920,89920,89348,89318,89910,89920,89940,89379,89889,89879,89980,89920,89860,89850,89980,89969,89859,89900,89920,89920,89850
521845,349329,350562,350572,350442,356383,350813,370730,538758,552242,481129,373214,351113,351033,349319,409223,350602,350582,350742,350612,350602,348548,350602,350602,348789
1041657,697247,699941,700593,710451,699370,696906,698218,701525,697016,725009,696535,697106,697587,697668,697287,706464,701725,696936,696776,697517,698077,705562,701264,701685
